context,id_a,id_b,title_a,title_b,key_a,key_b,grid_dist_3d,cosine_sim,harmonic_tier,edge_kind,edge_strength,is_thread
warm-up,28,66,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Walk The Line (Extended Mix),9A,9A,0,0.4539,same,harmonic,1,1
warm-up,28,68,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),We Are Child Of Love (The Mekanism Remix),9A,12A,0.7071,0.6058,,none,0,0
warm-up,28,72,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Where the Subtle Meets Infinity (Original Mix),9A,1A,1,0.8034,,none,0,0
warm-up,29,31,Just a Bitter Love,Lost,6A,6A,0.1476,0.8543,same,harmonic,1,1
warm-up,29,32,Just a Bitter Love,Love Somebody Else Feat. Joi Cardwell (Original Mix),6A,12B,0.356,0.4934,,none,0,0
warm-up,29,33,Just a Bitter Love,Love Song (Original Mix),6A,8A,0.356,0.7912,,none,0,0
warm-up,29,34,Just a Bitter Love,Lucky Shot (Original Mix),6A,7A,1.0713,0.6427,adjacent,harmonic,0.7,1
warm-up,29,41,Just a Bitter Love,Night Blooming Jasmine (Original Mix),6A,4A,0.4657,0.3387,,none,0,0
warm-up,29,60,Just a Bitter Love,Teardrops (Don't Stop The Music) (Original Mix),6A,5B,0.4657,0.7104,,none,0,0
warm-up,29,66,Just a Bitter Love,Walk The Line (Extended Mix),6A,9A,0.356,0.4099,,none,0,0
warm-up,29,68,Just a Bitter Love,We Are Child Of Love (The Mekanism Remix),6A,12A,0.9138,0.6611,,none,0,0
warm-up,29,72,Just a Bitter Love,Where the Subtle Meets Infinity (Original Mix),6A,1A,0.6783,0.6499,,none,0,0
warm-up,31,32,Lost,Love Somebody Else Feat. Joi Cardwell (Original Mix),6A,12B,0.4118,0.5401,,none,0,0
warm-up,31,33,Lost,Love Song (Original Mix),6A,8A,0.4118,0.7713,,none,0,0
warm-up,31,34,Lost,Lucky Shot (Original Mix),6A,7A,1.1787,0.7639,adjacent,harmonic,0.7,1
warm-up,31,41,Lost,Night Blooming Jasmine (Original Mix),6A,4A,0.5096,0.5172,,none,0,0
warm-up,31,60,Lost,Teardrops (Don't Stop The Music) (Original Mix),6A,5B,0.5096,0.8164,,none,0,0
warm-up,31,66,Lost,Walk The Line (Extended Mix),6A,9A,0.4118,0.4549,,none,0,0
warm-up,31,68,Lost,We Are Child Of Love (The Mekanism Remix),6A,12A,1.0399,0.7859,,none,0,0
warm-up,31,72,Lost,Where the Subtle Meets Infinity (Original Mix),6A,1A,0.5882,0.5223,,none,0,0
warm-up,32,33,Love Somebody Else Feat. Joi Cardwell (Original Mix),Love Song (Original Mix),12B,8A,0,0.3803,,none,0,0
warm-up,32,34,Love Somebody Else Feat. Joi Cardwell (Original Mix),Lucky Shot (Original Mix),12B,7A,0.9122,0.7486,,none,0,0
warm-up,32,41,Love Somebody Else Feat. Joi Cardwell (Original Mix),Night Blooming Jasmine (Original Mix),12B,4A,0.3003,0.8308,,none,0,0
warm-up,32,60,Love Somebody Else Feat. Joi Cardwell (Original Mix),Teardrops (Don't Stop The Music) (Original Mix),12B,5B,0.3003,0.6372,,none,0,0
warm-up,32,66,Love Somebody Else Feat. Joi Cardwell (Original Mix),Walk The Line (Extended Mix),12B,9A,0,0.8591,,none,0,0
warm-up,32,68,Love Somebody Else Feat. Joi Cardwell (Original Mix),We Are Child Of Love (The Mekanism Remix),12B,12A,0.7071,0.7469,,none,0,0
warm-up,32,72,Love Somebody Else Feat. Joi Cardwell (Original Mix),Where the Subtle Meets Infinity (Original Mix),12B,1A,1,0.4545,,none,0,0
warm-up,33,34,Love Song (Original Mix),Lucky Shot (Original Mix),8A,7A,0.9122,0.6499,adjacent,harmonic,0.7,1
warm-up,33,41,Love Song (Original Mix),Night Blooming Jasmine (Original Mix),8A,4A,0.3003,0.3626,,none,0,0
warm-up,33,60,Love Song (Original Mix),Teardrops (Don't Stop The Music) (Original Mix),8A,5B,0.3003,0.8951,,none,0,0
warm-up,33,66,Love Song (Original Mix),Walk The Line (Extended Mix),8A,9A,0,0.318,adjacent,harmonic,0.7,1
warm-up,33,68,Love Song (Original Mix),We Are Child Of Love (The Mekanism Remix),8A,12A,0.7071,0.6728,,none,0,0
warm-up,33,72,Love Song (Original Mix),Where the Subtle Meets Infinity (Original Mix),8A,1A,1,0.7239,,none,0,0
warm-up,34,41,Lucky Shot (Original Mix),Night Blooming Jasmine (Original Mix),7A,4A,0.7494,0.7407,,none,0,0
warm-up,34,60,Lucky Shot (Original Mix),Teardrops (Don't Stop The Music) (Original Mix),7A,5B,0.7494,0.8557,,none,0,0
warm-up,34,66,Lucky Shot (Original Mix),Walk The Line (Extended Mix),7A,9A,0.9122,0.6474,,none,0,0
warm-up,34,68,Lucky Shot (Original Mix),We Are Child Of Love (The Mekanism Remix),7A,12A,0.6013,0.9923,,none,0,0
warm-up,34,72,Lucky Shot (Original Mix),Where the Subtle Meets Infinity (Original Mix),7A,1A,1.6653,0.4118,,none,0,0
warm-up,41,60,Night Blooming Jasmine (Original Mix),Teardrops (Don't Stop The Music) (Original Mix),4A,5B,0,0.6262,,none,0,0
warm-up,41,66,Night Blooming Jasmine (Original Mix),Walk The Line (Extended Mix),4A,9A,0.3003,0.8985,,none,0,0
warm-up,41,68,Night Blooming Jasmine (Original Mix),We Are Child Of Love (The Mekanism Remix),4A,12A,0.7682,0.7357,,none,0,0
warm-up,41,72,Night Blooming Jasmine (Original Mix),Where the Subtle Meets Infinity (Original Mix),4A,1A,1.0441,0.4497,,none,0,0
warm-up,60,66,Teardrops (Don't Stop The Music) (Original Mix),Walk The Line (Extended Mix),5B,9A,0.3003,0.5471,,none,0,0
warm-up,60,68,Teardrops (Don't Stop The Music) (Original Mix),We Are Child Of Love (The Mekanism Remix),5B,12A,0.7682,0.8555,,none,0,0
warm-up,60,72,Teardrops (Don't Stop The Music) (Original Mix),Where the Subtle Meets Infinity (Original Mix),5B,1A,1.0441,0.6463,,none,0,0
warm-up,66,68,Walk The Line (Extended Mix),We Are Child Of Love (The Mekanism Remix),9A,12A,0.7071,0.65,,none,0,0
warm-up,66,72,Walk The Line (Extended Mix),Where the Subtle Meets Infinity (Original Mix),9A,1A,1,0.6292,,none,0,0
warm-up,68,72,We Are Child Of Love (The Mekanism Remix),Where the Subtle Meets Infinity (Original Mix),12A,1A,1.5811,0.433,adjacent,harmonic,0.7,1
pool-party,3,8,Boiling (feat. Sinead Harnett),DJs Gotta Dance More feat. Todd Terry (Extended),11A,10A,1.3824,0.7415,adjacent,harmonic,0.7,1
pool-party,3,10,Boiling (feat. Sinead Harnett),Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),11A,8A,0.6227,0.7146,,none,0,0
pool-party,3,12,Boiling (feat. Sinead Harnett),Escape feat. Hayla (Extended Mix),11A,8A,1.257,0.4188,,none,0,0
pool-party,3,13,Boiling (feat. Sinead Harnett),Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),11A,11A,0.3037,0.4789,same,harmonic,1,1
pool-party,3,15,Boiling (feat. Sinead Harnett),Feel The Game (Extended Remix),11A,1A,0.0455,0.836,,none,0,0
pool-party,3,17,Boiling (feat. Sinead Harnett),Final Credits (Original Mix),11A,4A,1.2851,0.5943,,none,0,0
pool-party,3,18,Boiling (feat. Sinead Harnett),Give Life Back to Music (Original Mix),11A,8A,0.8169,0.6728,,none,0,0
pool-party,3,20,Boiling (feat. Sinead Harnett),Hit The Ground  (Extended Mix),11A,6A,0.0455,0.8165,,none,0,0
pool-party,3,22,Boiling (feat. Sinead Harnett),I Remember (Original Mix),11A,10A,1.2004,0.5466,adjacent,harmonic,0.7,1
pool-party,3,24,Boiling (feat. Sinead Harnett),Illusory (Extended Mix),11A,1A,1.0476,0.7469,,none,0,0
pool-party,3,25,Boiling (feat. Sinead Harnett),It's A Memory (Amtrac Remix),11A,2A,0.7399,0.5796,,none,0,0
pool-party,3,29,Boiling (feat. Sinead Harnett),Just a Bitter Love,11A,6A,0.3989,0.7301,,none,0,0
pool-party,3,32,Boiling (feat. Sinead Harnett),Love Somebody Else Feat. Joi Cardwell (Original Mix),11A,12B,0.0455,0.4944,,none,0,0
pool-party,3,35,Boiling (feat. Sinead Harnett),Lying Together,11A,2A,1.0996,0.6102,,none,0,0
pool-party,3,37,Boiling (feat. Sinead Harnett),Masala (Pablo Fierro Remix),11A,7A,1.1043,0.4242,,none,0,0
pool-party,3,39,Boiling (feat. Sinead Harnett),Never Sleep Again (Keinemusik Remix),11A,6A,0.5353,0.6037,,none,0,0
pool-party,3,40,Boiling (feat. Sinead Harnett),Neverender (Extended),11A,11A,2.0455,0.3253,same,harmonic,1,1
pool-party,3,43,Boiling (feat. Sinead Harnett),Ocean Drive (Extended Mix),11A,1A,0.3037,0.5444,,none,0,0
pool-party,3,46,Boiling (feat. Sinead Harnett),Preach The World (Original Mix),11A,12A,1.2615,0.5116,adjacent,harmonic,0.7,1
pool-party,3,47,Boiling (feat. Sinead Harnett),Promiscuous [AV Edit],11A,3A,0.0455,0.541,,none,0,0
pool-party,3,54,Boiling (feat. Sinead Harnett),Slow Down (James Cole Remix),11A,9A,0.5021,0.613,,none,0,0
pool-party,3,56,Boiling (feat. Sinead Harnett),Sordid Affair (Maceo Plex Mix),11A,3A,0.4143,0.5641,,none,0,0
pool-party,3,57,Boiling (feat. Sinead Harnett),Stones Throw (Original Mix),11A,8A,0.3037,0.6016,,none,0,0
pool-party,3,62,Boiling (feat. Sinead Harnett),The Way You Move (Original Mix),11A,5A,1.0877,0.5414,,none,0,0
pool-party,3,63,Boiling (feat. Sinead Harnett),There's Never Been (No One Like You)(P's Sunrise Edit),11A,10B,0.3037,0.8677,,none,0,0
pool-party,3,66,Boiling (feat. Sinead Harnett),Walk The Line (Extended Mix),11A,9A,0.3037,0.4898,,none,0,0
pool-party,3,69,Boiling (feat. Sinead Harnett),What Can I Do,11A,8A,1.001,0.7372,,none,0,0
pool-party,3,70,Boiling (feat. Sinead Harnett),What I Might Do,11A,5A,1.0313,0.5023,,none,0,0
pool-party,3,72,Boiling (feat. Sinead Harnett),Where the Subtle Meets Infinity (Original Mix),11A,1A,1.0455,0.7494,,none,0,0
pool-party,8,10,DJs Gotta Dance More feat. Todd Terry (Extended),Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),10A,8A,1.8276,0.6295,,none,0,0
pool-party,8,12,DJs Gotta Dance More feat. Todd Terry (Extended),Escape feat. Hayla (Extended Mix),10A,8A,2.3663,0.3031,,none,0,0
pool-party,8,13,DJs Gotta Dance More feat. Todd Terry (Extended),Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),10A,11A,1.4457,0.3676,adjacent,harmonic,0.7,1
