id_a,id_b,distance
16,45,0.1093
16,46,0.5877
16,47,0.9879
16,48,1.0379
16,49,0.9412
16,50,1.4057
16,51,1.0261
16,52,0.9412
16,53,0.3116
16,54,1.0657
16,55,0.3521
16,56,1.0703
16,57,0.9412
16,58,0.345
16,59,1.5239
16,60,0.9879
16,61,1.2908
16,62,0.306
16,63,0.9879
16,64,0.9879
16,65,0.5862
16,66,0.9879
16,67,1.1006
16,68,1.5547
16,69,1.4057
16,70,0.3003
16,71,0.5832
16,72,0.306
16,73,1.5275
17,18,0.485
17,19,1.4032
17,20,1.3482
17,21,1.3482
17,22,0.9587
17,23,0.5791
17,24,0.7941
17,25,0.6962
17,26,1.2439
17,27,1.1644
17,28,1.3482
17,29,0.8511
17,30,1.4766
17,31,0.889
17,32,1.2071
17,33,1.2439
17,34,1.6248
17,35,1.089
17,36,1.2439
17,37,0.746
17,38,0.7891
17,39,1.2789
17,40,1.1479
17,41,1.2439
17,42,1.3482
17,43,1.3482
17,44,1.3482
17,45,0.654
17,46,0.6015
17,47,1.2071
17,48,1.4565
17,49,1.2439
17,50,1.9217
17,51,1.2444
17,52,1.2439
17,53,0.7891
17,54,1.4949
17,55,0.7431
17,56,1.2755
17,57,1.2439
17,58,0.7432
17,59,1.7024
17,60,1.2071
17,61,1.186
17,62,0.7535
17,63,1.3482
17,64,1.3482
17,65,0.9458
17,66,1.3482
17,67,1.1479
17,68,1.7336
17,69,1.3938
17,70,0.4745
17,71,0.9554
17,72,0.7535
17,73,1.706
18,19,0.992
18,20,0.9838
18,21,0.9838
18,22,1.0502
18,23,0.6753
18,24,0.8669
18,25,0.336
18,26,0.8351
18,27,0.707
18,28,0.9838
18,29,0.4428
18,30,1.1563
18,31,0.5829
18,32,0.7792
18,33,0.8351
18,34,1.1518
18,35,0.8494
18,36,0.8351
18,37,0.8565
18,38,0.8623
18,39,0.8822
18,40,1.5517
18,41,0.8351
18,42,0.9838
18,43,0.9838
18,44,0.9838
18,45,0.6541
18,46,0.7724
18,47,0.7792
18,48,1.1303
18,49,0.8351
18,50,1.6902
18,51,0.8124
18,52,0.8351
18,53,0.8623
18,54,1.1797
18,55,0.8908
18,56,0.8783
18,57,0.8351
18,58,0.8833
18,59,1.2604
18,60,0.7792
18,61,0.8149
18,62,0.8294
18,63,0.9838
18,64,0.9838
18,65,1.0107
18,66,0.9838
18,67,1.5517
18,68,1.2897
18,69,1.0387
18,70,0.5369
18,71,0.9913
18,72,0.8294
18,73,1.2638
19,20,1.0516
19,21,1.0516
19,22,1.8879
19,23,1.5332
19,24,1.5791
19,25,0.8004
19,26,1.0078
19,27,0.5694
19,28,1.0516
19,29,1.0324
19,30,1.4759
19,31,1.135
19,32,1.0516
19,33,1.0078
19,34,0.6078
19,35,0.6151
19,36,1.0078
19,37,1.5785
19,38,1.5738
19,39,0.5688
19,40,2.3677
19,41,1.0078
19,42,1.0516
19,43,1.0516
19,44,1.0516
19,45,1.477
19,46,1.3903
19,47,1.0516
19,48,1.4429
19,49,1.0078
19,50,2.0263
19,51,1.0476
19,52,1.0078
19,53,1.5738
19,54,1.5052
19,55,1.6287
19,56,0.6722
19,57,1.0078
19,58,1.6181
19,59,0.676
19,60,1.0516
19,61,0.25
19,62,1.5349
19,63,1.0516
19,64,1.0516
19,65,1.8989
19,66,1.0516
19,67,2.3677
19,68,0.6934
19,69,0.3253
19,70,1.4923
19,71,1.8646
19,72,1.5349
19,73,0.6779
20,21,0
20,22,1.197
20,23,1.0449
20,24,1.0022
20,25,0.7682
20,26,0.3003
20,27,0.5364
20,28,0
20,29,0.6982
20,30,0.5582
20,31,0.5096
20,32,0.6006
20,33,0.3003
20,34,0.7494
20,35,1.0815
20,36,0.3003
20,37,1.0588
20,38,1.0017
20,39,0.5333
20,40,2
20,41,0.3003
20,42,0
20,43,0
20,44,0
20,45,0.9292
20,46,1.2195
20,47,0.6006
20,48,0.5306
20,49,0.3003
20,50,1
20,51,0.6019
20,52,0.3003
20,53,1.0017
20,54,0.5832
20,55,1.125
20,56,0.4118
20,57,0.3003
20,58,1.1111
20,59,0.6839
20,60,0.6006
20,61,1.0516
20,62,1
20,63,0
20,64,0
20,65,1.2691
20,66,0
20,67,2
20,68,0.7071
20,69,1
20,70,1.1165
20,71,1.2233
20,72,1
20,73,0.6866
21,22,1.197
21,23,1.0449
21,24,1.0022
21,25,0.7682
21,26,0.3003
21,27,0.5364
21,28,0
21,29,0.6982
21,30,0.5582
21,31,0.5096
21,32,0.6006
21,33,0.3003
21,34,0.7494
21,35,1.0815
21,36,0.3003
21,37,1.0588
21,38,1.0017
21,39,0.5333
21,40,2
21,41,0.3003
21,42,0
21,43,0
21,44,0
21,45,0.9292
21,46,1.2195
21,47,0.6006
21,48,0.5306
21,49,0.3003
21,50,1
21,51,0.6019
21,52,0.3003
21,53,1.0017
21,54,0.5832
21,55,1.125
21,56,0.4118
21,57,0.3003
21,58,1.1111
21,59,0.6839
21,60,0.6006
21,61,1.0516
21,62,1
21,63,0
21,64,0
21,65,1.2691
21,66,0
21,67,2
21,68,0.7071
21,69,1
21,70,1.1165
21,71,1.2233
21,72,1
21,73,0.6866
22,23,0.4329
22,24,0.5067
22,25,1.12
22,26,1.1587
22,27,1.3994
22,28,1.197
22,29,0.9855
22,30,1.0588
22,31,0.8001
22,32,1.197
22,33,1.1587
22,34,1.8114
22,35,1.6345
22,36,1.1587
22,37,0.5582
22,38,0.513
22,39,1.4897
22,40,1.0943
22,41,1.1587
22,42,1.197
22,43,1.197
22,44,1.197
22,45,0.4254
22,46,0.9901
22,47,1.197
22,48,1.0593
22,49,1.1587
22,50,1.2213
22,51,1.2325
22,52,1.1587
22,53,0.513
22,54,1.0592
22,55,0.5622
22,56,1.4106
22,57,1.1587
22,58,0.5607
22,59,1.8329
22,60,1.197
22,61,1.742
22,62,0.5613
22,63,1.197
22,64,1.197
22,65,0.3074
22,66,1.197
22,67,1.0943
22,68,1.8607
22,69,1.8368
22,70,0.5705
22,71,0.3239
22,72,0.5613
22,73,1.8361
23,24,0.3013
23,25,0.7372
23,26,1.0009
23,27,1.1119
23,28,1.0449
23,29,0.7499
23,30,1.0881
23,31,0.5897
23,32,1.0449
23,33,1.0009
23,34,1.5672
23,35,1.2334
23,36,1.0009
23,37,0.3088
23,38,0.3008
23,39,1.192
23,40,1.0449
23,41,1.0009
23,42,1.0449
23,43,1.0449
23,44,1.0449
23,45,0.133
23,46,0.6068
23,47,1.0449
23,48,1.0755
23,49,1.0009
23,50,1.4172
23,51,1.0833
23,52,1.0009
23,53,0.3008
23,54,1.1
23,55,0.3279
23,56,1.1383
23,57,1.0009
23,58,0.3229
23,59,1.5921
23,60,1.0449
23,61,1.3604
23,62,0.3032
23,63,1.0449
23,64,1.0449
23,65,0.548
23,66,1.0449
23,67,1.0449
23,68,1.6228
23,69,1.4749
23,70,0.3088
23,71,0.5511
23,72,0.3032
23,73,1.5957
24,25,0.8132
24,26,1.0462
24,27,1.1625
24,28,1.0022
24,29,0.9176
24,30,1.1195
24,31,0.6638
24,32,1.1684
24,33,1.0462
24,34,1.6043
24,35,1.2181
24,36,1.0462
24,37,0.0889
24,38,0.0078
24,39,1.1662
24,40,1.0022
24,41,1.0462
24,42,1.0022
24,43,1.0022
24,44,1.0022
24,45,0.3259
24,46,0.5516
24,47,1.1684
24,48,1.108
24,49,1.0462
24,50,1.3679
24,51,1.2028
24,52,1.0462
24,53,0.0078
24,54,1.1305
24,55,0.1417
24,56,1.1086
24,57,1.0462
24,58,0.1296
24,59,1.5723
24,60,1.1684
24,61,1.4119
24,62,0.0667
24,63,1.0022
24,64,1.0022
24,65,0.7406
24,66,1.0022
24,67,1.0022
24,68,1.6035
24,69,1.4621
24,70,0.6071
24,71,0.7429
24,72,0.0667
24,73,1.576
25,26,0.7071
25,27,0.5031
25,28,0.7682
25,29,0.5085
25,30,1.0918
25,31,0.5077
25,32,0.7682
25,33,0.7071
25,34,0.9706
25,35,0.5899
25,36,0.7071
25,37,0.8078
25,38,0.8078
25,39,0.5842
25,40,1.6094
25,41,0.7071
25,42,0.7682
25,43,0.7682
25,44,0.7682
25,45,0.6965
25,46,0.694
25,47,0.7682
25,48,1.0625
25,49,0.7071
25,50,1.6094
25,51,0.7948
25,52,0.7071
25,53,0.8078
25,54,1.118
25,55,0.8549
25,56,0.5899
25,57,0.7071
25,58,0.8448
25,59,1.0122
25,60,0.7682
25,61,0.625
25,62,0.7682
25,63,0.7682
25,64,0.7682
25,65,1.1577
25,66,0.7682
25,67,1.6094
25,68,1.0441
25,69,0.7682
25,70,0.7313
25,71,1.1335
25,72,0.7682
25,73,1.016
26,27,0.4444
26,28,0.3003
26,29,0.4657
26,30,0.4706
26,31,0.4118
26,32,0.3003
26,33,0
26,34,0.6866
26,35,1.1224
26,36,0
26,37,1.1006
26,38,1.0458
26,39,0.6121
26,40,2.0224
26,41,0
26,42,0.3003
26,43,0.3003
26,44,0.3003
26,45,0.8793
26,46,1.2559
26,47,0.3003
26,48,0.4375
26,49,0
26,50,1.0441
26,51,0.303
26,52,0
26,53,1.0458
26,54,0.5
26,55,1.1644
26,56,0.5096
26,57,0
26,58,1.151
26,59,0.747
26,60,0.3003
26,61,1.0078
26,62,1.0441
26,63,0.3003
26,64,0.3003
26,65,1.1577
26,66,0.3003
26,67,2.0224
26,68,0.7682
26,69,1.0441
26,70,0.9879
26,71,1.1072
26,72,1.0441
26,73,0.7494
27,28,0.5364
27,29,0.5508
27,30,0.915
27,31,0.6059
27,32,0.5364
27,33,0.4444
27,34,0.4739
27,35,0.7539
27,36,0.4444
27,37,1.1869
27,38,1.1591
27,39,0.3132
27,40,2.0707
27,41,0.4444
27,42,0.5364
27,43,0.5364
27,44,0.5364
27,45,1.0237
27,46,1.1647
27,47,0.5364
27,48,0.8819
27,49,0.4444
27,50,1.4753
27,51,0.5379
27,52,0.4444
27,53,1.1591
27,54,0.9444
27,55,1.2463
27,56,0.3021
27,57,0.4444
27,58,1.2338
27,59,0.5577
27,60,0.5364
27,61,0.5694
27,62,1.1348
27,63,0.5364
27,64,0.5364
27,65,1.4079
27,66,0.5364
27,67,2.0707
27,68,0.5859
27,69,0.6315
27,70,1.0833
27,71,1.3667
27,72,1.1348
